[2025-10-10T22:52:22Z] Starting watcher for PR #20 (domus-magna/chinaxiv-english branch=site-polish-implementation)
[2025-10-10T22:52:24Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (feat(item): arXiv-style paper page, canonical/OG meta, /abs alias) @ 2025-10-10T22:49:46Z
[2025-10-29T10:33:59Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-29T10:33:59Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-29T13:34:23Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-29T13:35:47Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-29T20:56:59Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-11-03T12:33:48Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-11-03T12:33:49Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-11-03T23:50:07Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-11-03T23:50:07Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-11-04T14:39:59Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-11-04T15:02:16Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
